bank,category_title,mcc,note
Альфа-Банк,АЗС,3990,
Альфа-Банк,АЗС,5172,
Альфа-Банк,АЗС,5541,
Альфа-Банк,АЗС,5542,
Альфа-Банк,АЗС,5552,
Альфа-Банк,АЗС,5983,
Альфа-Банк,АЗС,9752,
Альфа-Банк,Авто,4784,
Альфа-Банк,Авто,5013,
Альфа-Банк,Авто,5271,
Альфа-Банк,Авто,5511,
Альфа-Банк,Авто,5521,
Альфа-Банк,Авто,5531,
Альфа-Банк,Авто,5532,
Альфа-Банк,Авто,5533,
Альфа-Банк,Авто,5551,
Альфа-Банк,Авто,5561,
Альфа-Банк,Авто,5571,
Альфа-Банк,Авто,5592,
Альфа-Банк,Авто,5598,
Альфа-Банк,Авто,5599,
Альфа-Банк,Авто,7511,
Альфа-Банк,Авто,7523,
Альфа-Банк,Авто,7531,
Альфа-Банк,Авто,7534,
Альфа-Банк,Авто,7535,
Альфа-Банк,Авто,7538,
Альфа-Банк,Авто,7542,
Альфа-Банк,Авто,7549,
Альфа-Банк,Автозапчасти,5013,
Альфа-Банк,Автозапчасти,5271,
Альфа-Банк,Автозапчасти,5511,
Альфа-Банк,Автозапчасти,5531,
Альфа-Банк,Автозапчасти,5532,
Альфа-Банк,Автозапчасти,5533,
Альфа-Банк,Автоуслуги,4784,
Альфа-Банк,Автоуслуги,5521,
Альфа-Банк,Автоуслуги,5551,
Альфа-Банк,Автоуслуги,5561,
Альфа-Банк,Автоуслуги,5571,
Альфа-Банк,Автоуслуги,5592,
Альфа-Банк,Автоуслуги,5598,
Альфа-Банк,Автоуслуги,5599,
Альфа-Банк,Автоуслуги,7511,
Альфа-Банк,Автоуслуги,7523,
Альфа-Банк,Автоуслуги,7531,
Альфа-Банк,Автоуслуги,7534,
Альфа-Банк,Автоуслуги,7535,
Альфа-Банк,Автоуслуги,7538,
Альфа-Банк,Автоуслуги,7542,
Альфа-Банк,Автоуслуги,7549,
Альфа-Банк,Активный отдых,7032,
Альфа-Банк,Активный отдых,7932,
Альфа-Банк,Активный отдых,7933,
Альфа-Банк,Активный отдых,7941,
Альфа-Банк,Активный отдых,7992,
Альфа-Банк,Активный отдых,7996,
Альфа-Банк,Активный отдых,7997,
Альфа-Банк,Активный отдых,7998,
Альфа-Банк,Активный отдых,7999,
Альфа-Банк,Алкоголь,5921,
Альфа-Банк,Альфа-Афиша,7922,
Альфа-Банк,Альфа-Тревел,4722,покупки на сайте travel.alfabank.ru или в Разделе Путешествия мобильного банка
Альфа-Банк,Аптеки,4119,
Альфа-Банк,Аптеки,5047,
Альфа-Банк,Аптеки,5122,
Альфа-Банк,Аптеки,5912,
Альфа-Банк,Аптеки,5975,
Альфа-Банк,Аптеки,5976,
Альфа-Банк,Аптеки,8011,
